id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
CMIG_2026-W04,CMIG,2026-04-18 14:09:48,2026-01-19,2026-01-25,2026-W04,2064.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2026-W05,CMIG,2026-04-18 14:09:48,2026-01-26,2026-02-01,2026-W05,1896.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2026-W06,CMIG,2026-04-18 14:09:48,2026-02-02,2026-02-08,2026-W06,1728.07,,,,,0,2,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W09,CSCCP25,2026-04-18 14:09:48,2025-02-24,2025-03-02,2025-W09,9293.19,,,,7747.13,0,9,0.0,14,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W36,CSCCP25,2026-04-18 14:09:48,2025-09-01,2025-09-07,2025-W36,4733.44,,,,4272.5,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W37,CSCCP25,2026-04-18 14:09:48,2025-09-08,2025-09-14,2025-W37,5268.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W40,CSCCP25,2026-04-18 14:09:48,2025-09-29,2025-10-05,2025-W40,4836.07,,,,,0,4,0.0,4,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W41,CSCCP25,2026-04-18 14:09:48,2025-10-06,2025-10-12,2025-W41,4668.07,,,,,0,7,0.0,7,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W42,CSCCP25,2026-04-18 14:09:48,2025-10-13,2025-10-19,2025-W42,3487.08,,,,3467.8,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W43,CSCCP25,2026-04-18 14:09:48,2025-10-20,2025-10-26,2025-W43,3399.6,,,,3367.73,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W46,CSCCP25,2026-04-18 14:09:48,2025-11-10,2025-11-16,2025-W46,2988.88,,,,2895.65,0,0,0.0,6,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W49,CSCCP25,2026-04-18 14:09:48,2025-12-01,2025-12-07,2025-W49,2623.12,,,,2569.28,0,0,0.0,8,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2025-W51,CSCCP25,2026-04-18 14:09:48,2025-12-15,2025-12-21,2025-W51,2382.36,,,,2256.28,0,0,0.0,7,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2026-W02,CSCCP25,2026-04-18 14:09:48,2026-01-05,2026-01-11,2026-W02,2254.75,,,,1541.38,0,6,0.0,11,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2026-W05,CSCCP25,2026-04-18 14:09:48,2026-01-26,2026-02-01,2026-W05,1539.12,,,,1534.12,2,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2026-W07,CSCCP25,2026-04-18 14:09:48,2026-02-09,2026-02-15,2026-W07,1305.23,,,,1237.69,1,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2026-W09,CSCCP25,2026-04-18 14:09:48,2026-02-23,2026-03-01,2026-W09,1260.07,,,,0.0,0,11,0.0,11,,jira_only,Phase 1 - Jira only,0.0
CSCCP25_2026-W10,CSCCP25,2026-04-18 14:09:48,2026-03-02,2026-03-08,2026-W10,855.17,,,,820.32,2,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
